Record,Location,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,longitude,latitude
2017000011,4TH LINE RD btwn FOREST RD & SPRINGHILL RD,2017,4/15/2017,14:53:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.54339709,45.16939717
2017000012,4TH LINE RD btwn MCDIARMID RD & BELMEADE RD,2017,4/23/2017,13:51:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.51805234,45.11839816
2017000013,8TH LINE RD @ GLENWOOD DR,2017,8/19/2017,0:44:00,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,07 - Dark,02 - Non-fatal injury,07 - SMV other,-75.46740828,45.22557628
2017000014,8TH LINE RD @ MITCH OWENS RD,2017,8/14/2017,17:00:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,-75.51094441,45.30465078
2017000015,8TH LINE RD @ MITCH OWENS RD,2017,9/12/2017,16:47:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.51092771,45.3046507
2017000016,8TH LINE RD @ MITCH OWENS RD,2017,11/30/2017,16:26:00,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,05 - Turning movement,-75.51094553,45.30467947
2017000017,8TH LINE RD @ MITCH OWENS RD,2017,3/24/2017,21:18:00,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.51094599,45.30465286
2017000018,8TH LINE RD @ PARKWAY RD,2017,6/25/2017,18:16:00,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.50099614,45.28762228
2017000019,8TH LINE RD @ PARKWAY RD,2017,9/22/2017,17:59:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,01 - Fatal injury,02 - Angle,-75.50098066,45.28762371
2017000020,8TH LINE RD @ SPRINGHILL RD,2017,5/14/2017,15:32:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.45479667,45.20120853
2017000021,8TH LINE RD btwn ANDREW SIMPSON DR & BRUCE ST,2017,1/30/2017,8:25:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.47500558,45.24011268
2017000022,8TH LINE RD btwn COOPER HILL RD & FOREST GREEN CRES,2017,12/21/2017,17:41:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.4901689,45.26880554
2017000023,8TH LINE RD btwn MARVELVILLE RD & LAWRENCE ST,2017,7/27/2017,10:55:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other,-75.44466228,45.18216795
2017000024,8TH LINE RD btwn MITCH OWENS RD & RODNEY FARM DR,2017,7/31/2017,21:52:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.5085462,45.30076337
2017000025,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,2017,5/18/2017,16:39:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.4811186,45.25219813
2017000026,8TH LINE RD btwn PANA RD & ANDREW SIMPSON DR,2017,4/6/2017,10:52:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.48001466,45.24982118
2017000027,8TH LINE RD btwn SPRINGHILL RD & MARVELVILLE RD,2017,7/11/2017,12:15:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.45370085,45.19894399
2017000028,9TH LINE RD @ VICTORIA ST,2017,9/14/2017,14:46:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.4512231,45.24507224
2017000029,AARON AVE btwn CARLING AVE & LENESTER AVE,2017,4/4/2017,20:15:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,06 - SMV unattended vehicle,-75.7676342,45.37023067
2017000030,ABBEYHILL DR @ CASTLEFRANK RD,2017,6/2/2017,8:57:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.88263297,45.29362667
2017000031,ABBEYHILL DR @ EAGLESON RD,2017,10/20/2017,8:57:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.87485546,45.30056632
2017000032,ABBEYHILL DR @ SURREY LANE,2017,12/12/2017,10:24:00,03 - Snow,05 - Packed snow,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.8768317,45.29995127
2017000033,ABBEYHILL DR btwn OLD COLONY RD & BALBAIR RD,2017,4/29/2017,13:36:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,99 - Other,-75.87915845,45.29789248
2017000034,ABBEYHILL DR btwn SURREY LANE & EAGLESON RD,2017,1/23/2017,7:21:00,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,03 - Dawn,03 - P.D. only,02 - Angle,-75.87609913,45.30023005
2017000035,ABBOTT ST @ GRANITE RIDGE DR,2017,6/29/2017,15:15:00,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.90507273,45.26831619
2017000036,ABBOTT ST @ GRANITE RIDGE DR,2017,12/14/2017,15:00:00,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,-75.90506613,45.2683402
2017000037,ABBOTT ST @ IBER RD,2017,9/21/2017,10:40:00,01 - Clear,01 - Dry,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.89873104,45.27229202
2017000038,ABBOTT ST @ IBER RD,2017,11/26/2017,14:41:00,02 - Rain,02 - Wet,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.89871576,45.27228277
2017000039,ABBOTT ST @ SHEA RD,2017,4/18/2017,21:43:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,-75.90925783,45.26575281
2017000040,ABBOTT ST @ STITTSVILLE MAIN ST,2017,5/25/2017,7:07:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,-75.92087826,45.25847659
2017000041,ABBOTT ST @ STITTSVILLE MAIN ST,2017,6/30/2017,12:16:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.92091487,45.25847645
2017000042,ABBOTT ST @ STITTSVILLE MAIN ST,2017,9/16/2017,12:45:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other,-75.92091912,45.25847819
2017000043,ABBOTT ST W @ WEST RIDGE DR,2017,6/25/2017,16:13:00,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.92866131,45.25359911
2017000044,ABERDEEN ST @ PRESTON ST,2017,6/17/2017,11:15:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.70993988,45.40128863
2017000045,ABERDEEN ST @ PRESTON ST,2017,2/15/2017,0:00:00,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,-75.70993576,45.40127749
2017000046,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,2017,5/28/2017,0:00:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,-75.91723781,45.35510617
2017000047,ABERFOYLE CIRC btwn Continuation of ABERFOYLE CIRC & Continuation of A,2017,7/28/2017,0:00:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,-75.91678757,45.35435991
2017000048,ABETTI RIDGE btwn ESPIN HTS & JOCKVALE RD,2017,1/7/2017,17:47:00,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,-75.73228203,45.25862728
2017000049,ACACIA AVE @ BEECHWOOD AVE,2017,7/14/2017,7:47:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,-75.67122619,45.44240498
2017000050,ACACIA AVE @ MARIPOSA AVE,2017,12/28/2017,10:20:00,01 - Clear,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.67411139,45.44907011
2017000051,ACACIA AVE @ ROCKCLIFFE PKWY,2017,5/14/2017,21:30:00,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,-75.68293569,45.45682388
2017000052,ACACIA AVE @ ROCKCLIFFE PKWY,2017,2/8/2017,9:08:00,03 - Snow,06 - Ice,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,01 - Approaching,-75.68291448,45.45681493
2017000053,ACACIA AVE btwn RIDEAU TER & OAKHILL RD,2017,4/14/2017,15:41:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.67237915,45.44465471
2017000054,ACCEPTANCE PL @ HOPE SIDE RD,2017,9/24/2017,4:30:00,01 - Clear,01 - Dry,,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,-75.84040414,45.27537515
2017000055,ACKLAM TER btwn AYTON LANE & AYTON LANE,2017,2/21/2017,0:00:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,-75.92667363,45.34826225
2017000056,ADAMSON CRES btwn WEST RIDGE DR N & WEST RIDGE DR S,2017,5/31/2017,13:05:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.9276096,45.24820799
2017000057,ADELINE ST @ PRESTON ST,2017,2/18/2017,12:46:00,01 - Clear,04 - Slush,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.70835014,45.39865293
2017000058,ADELINE ST @ PRESTON ST,2017,2/12/2017,18:40:00,03 - Snow,03 - Loose snow,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,-75.70833314,45.3986468
2017000059,ADELINE ST @ PRESTON ST,2017,2/8/2017,11:20:00,01 - Clear,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.70833709,45.39866997
2017000060,ADIRONDACK DR @ IRIS ST,2017,11/22/2017,15:01:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.76823779,45.3564704
2017000061,ADIRONDACK DR @ WOODROFFE AVE,2017,5/4/2017,13:31:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.76412653,45.3536334
2017000062,ADIRONDACK DR @ WOODROFFE AVE,2017,6/30/2017,20:53:00,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,03 - Rear end,-75.76413956,45.35361543
2017000063,ADIRONDACK DR @ WOODROFFE AVE,2017,10/10/2017,11:07:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,-75.76414047,45.35362617
2017000064,ADIRONDACK DR @ WOODROFFE AVE,2017,9/24/2017,13:11:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.76412051,45.35363123
2017000065,ADMIRAL AVE @ ANNA AVE,2017,2/8/2017,10:22:00,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.72931927,45.38274517
2017000066,AERO DR @ HOLLY ACRES RD,2017,4/12/2017,18:13:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.81674435,45.34698184
2017000067,AGES DR @ HAWTHORNE RD,2017,8/8/2017,14:30:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement,-75.60390218,45.38589191
2017000068,AGES DR @ HAWTHORNE RD,2017,12/20/2017,16:05:00,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end,-75.60390806,45.38590261
2017000069,AGES DR btwn LEGACY RD & HAWTHORNE RD,2017,8/30/2017,14:24:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,-75.6077104,45.38442584
2017000070,AGES DR btwn LEGACY RD & HAWTHORNE RD,2017,4/6/2017,14:27:00,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,-75.60462873,45.38559063
2017000071,AGES DR btwn SWANSEA CRES & LEGACY RD,2017,5/30/2017,13:43:00,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,-75.61202375,45.3837849
2017000072,AGES DR btwn SWANSEA CRES & LEGACY RD,2017,7/6/2017,10:10:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.61386842,45.38275513
2017000073,AGES DR btwn SWANSEA CRES & LEGACY RD,2017,7/6/2017,10:23:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.61419049,45.38241818
2017000074,AGINCOURT RD @ MAITLAND AVE,2017,7/25/2017,19:18:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.75132122,45.36656638
2017000075,AGINCOURT RD @ MAITLAND AVE,2017,8/8/2017,10:09:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.75133193,45.36655409
2017000076,AGINCOURT RD @ MAITLAND AVE,2017,12/19/2017,14:12:00,03 - Snow,04 - Slush,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,-75.7513276,45.36655556
2017000077,AHEARN AVE btwn CROFT ST & FARROW ST,2017,3/30/2017,9:00:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,-75.80122539,45.36050871
2017000078,AINSLEY DR btwn ERINDALE DR & AMESBROOKE DR,2017,11/14/2017,0:00:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,-75.74663,45.35941596
2017000079,AINSLEY DR btwn FERGUSON ST & GAGE CRES,2017,4/20/2017,8:46:00,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,05 - Turning movement,-75.75148624,45.35812737
2017000080,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,2017,7/28/2017,17:11:00,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,-75.66071717,45.32437565
2017000081,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,2017,2/17/2017,16:31:00,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,-75.66072992,45.32436683
2017000082,AIRPORT PARKWAY PRIV @ AIR CARGO PRIV,2017,4/14/2017,13:50:00,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,-75.66071667,45.32437808
2017000083,AIRPORT PARKWAY PRIV btwn Continuation of AIRPORT PARKWAY PRIV & TO BE,2017,4/21/2017,3:13:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.66497572,45.32238248
2017000084,AIRPORT PKWY @ HUNT CLUB RD,2017,5/25/2017,19:23:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65490489,45.3501432
2017000085,AIRPORT PKWY @ HUNT CLUB RD,2017,6/13/2017,9:15:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65490462,45.35016126
2017000086,AIRPORT PKWY @ HUNT CLUB RD,2017,5/5/2017,16:14:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.65491316,45.35016132
2017000087,AIRPORT PKWY @ HUNT CLUB RD,2017,8/13/2017,12:35:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.6549161,45.35016176
2017000088,AIRPORT PKWY @ HUNT CLUB RD,2017,10/12/2017,6:44:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,03 - Dawn,03 - P.D. only,03 - Rear end,-75.65491755,45.35015289
2017000089,AIRPORT PKWY @ HUNT CLUB RD,2017,9/20/2017,15:30:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65491132,45.35016174
2017000090,AIRPORT PKWY @ HUNT CLUB RD,2017,9/16/2017,19:00:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65492348,45.35016509
2017000091,AIRPORT PKWY @ HUNT CLUB RD,2017,10/7/2017,20:07:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,01 - Approaching,-75.65491047,45.3501602
2017000092,AIRPORT PKWY @ HUNT CLUB RD,2017,11/15/2017,13:28:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.65491325,45.3501553
2017000093,AIRPORT PKWY @ HUNT CLUB RD,2017,11/22/2017,20:07:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,-75.65490547,45.35015311
2017000094,AIRPORT PKWY @ HUNT CLUB RD,2017,12/11/2017,17:14:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,-75.6549048,45.35014922
2017000095,AIRPORT PKWY @ HUNT CLUB RD,2017,2/10/2017,14:26:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65490127,45.35018854
2017000096,AIRPORT PKWY @ HUNT CLUB RD,2017,2/12/2017,0:03:00,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other,-75.65491751,45.35015534
2017000097,AIRPORT PKWY @ HUNT CLUB RD,2017,1/5/2017,14:22:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65491759,45.35015042
2017000098,AIRPORT PKWY @ HUNT CLUB RD,2017,2/15/2017,9:12:00,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,-75.65491744,45.35015519
2017000099,AIRPORT PKWY @ HUNT CLUB RD,2017,1/5/2017,14:42:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,-75.65491717,45.3501785
2017000100,AIRPORT PKWY @ HUNT CLUB RD,2017,1/5/2017,8:20:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65490679,45.3501398
2017000101,AIRPORT PKWY @ HUNT CLUB RD,2017,1/13/2017,14:48:00,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65490645,45.35016297
2017000102,AIRPORT PKWY @ HUNT CLUB RD,2017,3/15/2017,7:51:00,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65490471,45.35015524
2017000103,AIRPORT PKWY @ HUNT CLUB RD,2017,4/19/2017,13:31:00,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.65491334,45.35014928
2017000104,AIRPORT PKWY @ HUNT CLUB RD,2017,12/21/2017,8:38:00,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65491145,45.35015314
2017000105,AIRPORT PKWY @ UPLANDS DR RAMP 62,2017,10/30/2017,3:20:00,02 - Rain,02 - Wet,03 - Yield sign,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe,-75.65161273,45.33140093
2017000106,AIRPORT PKWY btwn AIRPORT PKWY/HUNT CLUB RAMP 42 & WALKLEY RD NB RAMP,2017,12/18/2017,3:59:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.6619394,45.35766544
2017000107,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP,2017,11/1/2017,17:20:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,02 - Non-fatal injury,03 - Rear end,-75.66524283,45.36483834
2017000108,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP,2017,3/8/2017,12:23:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,-75.66533645,45.36499255
2017000109,AIRPORT PKWY btwn AIRPORT PKWY/WALKLEY RD SOUTHBOUND ON RAMP,2017,3/29/2017,9:02:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,01 - Approaching,-75.66503353,45.36445823
2017000110,AIRPORT PKWY btwn BROOKFIELD RAMP 34 & BRONSON AVE RAMP 24C,2017,9/3/2017,11:03:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,-75.68399422,45.37713538
2017000111,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),2017,5/2/2017,8:50:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,-75.65526234,45.3507899
2017000112,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),2017,6/11/2017,17:16:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,-75.65540396,45.35102569
2017000113,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),2017,8/24/2017,14:00:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,99 - Other,-75.65473554,45.34973869
2017000114,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),2017,12/14/2017,0:49:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,-75.65538123,45.35097085
2017000115,AIRPORT PKWY btwn RAMP & AIRPORT PKWY (2),2017,3/24/2017,0:45:00,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,05 - Turning movement,-75.65475904,45.349814
2017000116,AIRPORT PKWY btwn RAMP & RAMP (1),2017,12/10/2017,16:46:00,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,04 - Sideswipe,-75.68001906,45.37240441
2017000117,AIRPORT PKWY btwn RAMP & RAMP (1),2017,4/12/2017,18:49:00,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,05 - Dusk,03 - P.D. only,04 - Sideswipe,-75.68034174,45.37249962
